Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
OKC,OKC @ CHI,02/25/2020,2019-20,W,240,124,42,76,55.3,14,30,46.7,26,35,74.3,7,30,37,25,8,7,12,17,2
LAL,LAL vs. NOP,02/25/2020,2019-20,W,240,118,45,102,44.1,13,44,29.5,15,21,71.4,14,37,51,27,10,12,16,20,9
NOP,NOP @ LAL,02/25/2020,2019-20,L,240,109,39,86,45.3,8,27,29.6,23,30,76.7,6,39,45,31,10,2,20,24,-9
GSW,GSW vs. SAC,02/25/2020,2019-20,L,240,94,35,79,44.3,4,28,14.3,20,24,83.3,5,29,34,21,7,2,17,25,-18
SAC,SAC @ GSW,02/25/2020,2019-20,W,240,112,40,76,52.6,13,30,43.3,19,34,55.9,2,38,40,25,7,4,10,23,18
WAS,WAS vs. MIL,02/24/2020,2019-20,L,265,134,47,98,48.0,15,35,42.9,25,33,75.8,6,35,41,27,8,0,17,27,-3
MIL,MIL @ WAS,02/24/2020,2019-20,W,265,137,49,86,57.0,17,37,45.9,22,27,81.5,4,41,45,26,7,4,21,28,3
MIN,MIN @ DAL,02/24/2020,2019-20,L,240,123,42,95,44.2,15,42,35.7,24,34,70.6,7,35,42,16,4,6,12,22,-16
DAL,DAL vs. MIN,02/24/2020,2019-20,W,240,139,51,101,50.5,16,44,36.4,21,28,75.0,14,40,54,28,7,3,13,28,16
PHX,PHX @ UTA,02/24/2020,2019-20,W,240,131,49,87,56.3,12,20,60.0,21,24,87.5,11,27,38,33,10,1,15,31,20
UTA,UTA vs. PHX,02/24/2020,2019-20,L,240,111,32,68,47.1,10,26,38.5,37,43,86.0,5,25,30,16,8,2,20,23,-20
HOU,HOU vs. NYK,02/24/2020,2019-20,W,240,123,43,86,50.0,16,48,33.3,21,31,67.7,5,33,38,20,11,7,13,22,11
NYK,NYK @ HOU,02/24/2020,2019-20,L,240,112,40,91,44.0,11,29,37.9,21,30,70.0,16,38,54,20,12,8,17,21,-11
